null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4|1|1,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,1|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,1|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,4|2|501
2|1|null,2|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,2|2|null,2|2|null,2|2|null
2|1|null,0|-1|null,0|-1|null,2|0|null,1|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,4|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,1|2|null,2|2|null,0|-1|null,0|-1|null,2|2|null
2|1|null,0|-1|null,1|0|null,2|0|null,0|-1|null,2|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,2|2|null,2|2|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|2|null
4|1|2,2|0|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|0|null,1|0|null,2|0|null,0|-1|null,0|-1|null,2|0|null,0|-1|null,0|-1|null,2|0|null,1|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,4|2|502
2|1|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,1|0|null,2|0|null,2|0|null,0|-1|null,2|0|null,2|0|null,2|0|null,2|0|null,2|0|null,0|-1|null,2|0|null,0|-1|null,1|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,2|2|null
2|1|null,0|-1|null,2|0|null,2|0|null,0|-1|null,0|-1|null,2|0|null,1|0|null,0|-1|null,0|-1|null,1|0|null,1|2|null,1|0|null,0|-1|null,0|-1|null,1|0|null,2|0|null,0|-1|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|2|null
2|1|null,2|0|null,0|-1|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|0|null,1|2|null,1|0|null,1|0|null,1|0|null,1|0|null,1|0|null,1|1|null,2|0|null,0|-1|null,2|0|null,2|0|null,0|-1|null,0|-1|null,2|0|null,2|2|null
3|1|3,2|1|null,1|1|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,1|0|null,1|0|null,2|1|null,2|1|null,2|2|null,1|0|null,1|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,1|2|null,2|2|null,3|2|503
2|1|null,2|1|null,0|-1|null,2|0|null,2|0|null,0|-1|null,0|-1|null,2|0|null,1|2|null,1|0|null,1|0|null,2|2|null,1|0|null,1|0|null,1|1|null,2|0|null,0|-1|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|2|null,2|2|null
2|1|null,2|0|null,2|0|null,0|-1|null,0|-1|null,2|0|null,2|0|null,2|0|null,0|-1|null,1|0|null,1|0|null,1|0|null,1|0|null,1|0|null,0|-1|null,2|0|null,2|0|null,2|0|null,0|-1|null,0|-1|null,2|0|null,2|0|null,2|2|null
2|1|null,0|-1|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|0|null,1|0|null,0|-1|null,0|-1|null,2|0|null,1|1|null,2|0|null,0|-1|null,0|-1|null,1|0|null,2|0|null,0|-1|null,2|0|null,2|0|null,0|-1|null,0|-1|null,2|2|null
4|1|2,0|-1|null,0|-1|null,0|-1|null,2|0|null,1|0|null,2|0|null,2|0|null,2|0|null,2|0|null,0|-1|null,2|0|null,0|-1|null,2|0|null,2|0|null,2|0|null,2|0|null,1|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,4|2|502
2|1|null,2|0|null,1|0|null,2|0|null,0|-1|null,0|-1|null,2|1|null,1|0|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,1|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,2|2|null
2|1|null,0|-1|null,0|-1|null,2|0|null,1|0|null,2|1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,1|0|null,0|-1|null,0|-1|null,0|-1|null,2|2|null
2|1|null,0|-1|null,2|1|null,2|1|null,0|-1|null,2|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,4|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|0|null,2|0|null,0|-1|null,2|2|null
4|1|1,2|1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,1|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,1|0|null,2|0|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,0|-1|null,2|0|null,4|2|501
